frame,Mis-Fire Monitor Status,Mis-Fire Counter-200 REV,Mis-Fire Counter CAT 200 Rev,Cylinder 1 FTP Mis-Fire Counter,Cylinder 2 FTP Mis-Fire Counter,Cylinder 3 FTP Mis-Fire Counter,Cylinder 4 FTP Mis-Fire Counter,Cylinder 5 FTP Mis-Fire Counter,Cylinder 6 FTP Mis-Fire Counter,Cylinder 7 FTP Mis-Fire Counter,Cylinder 8 FTP Mis-Fire Counter
227,,576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228,,521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229,,465.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,,409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,,293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,,777.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,,736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,,695.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,,654.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243,,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244,,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247,,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253,,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254,,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
256,,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
257,,630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
