frame,MAP Vacuum,Engine Speed,Injector Pulse Width Cylinder 5,Injector Pulse Width Cylinder 6,Injector Pulse Width Cylinder 7,Injector Pulse Width Cylinder 8,1/1 O2 Goal(0-1),1/1 O2 Volts(0-1)
265,6.84,2384.0,7376.0,6984.0,7480.0,7064.0,0.67,0.8
266,7.2,2393.0,6856.0,7256.0,7000.0,7424.0,0.67,0.51
267,7.2,2379.0,7280.0,6880.0,7000.0,7424.0,0.67,0.71
268,7.2,2392.0,7256.0,6944.0,7416.0,7008.0,0.67,0.75
269,7.26,2402.0,6888.0,7280.0,6856.0,7016.0,0.67,0.22
270,7.26,2405.0,6912.0,7248.0,6912.0,7352.0,0.67,0.45
271,7.32,2417.0,6880.0,6936.0,6856.0,7376.0,0.67,0.55
272,7.26,2360.0,7248.0,6920.0,7408.0,6992.0,0.67,0.78
273,7.32,2378.0,6832.0,6816.0,6848.0,6920.0,0.67,0.2
274,7.26,2394.0,7032.0,7144.0,6904.0,7336.0,0.67,0.67
275,7.26,2417.0,7376.0,6896.0,6904.0,7320.0,0.67,0.67
276,7.32,2435.0,7400.0,7272.0,6936.0,7360.0,0.67,0.75
277,7.38,2460.0,7408.0,6992.0,7272.0,6992.0,0.67,0.76
278,7.61,2642.0,7288.0,6920.0,7224.0,7344.0,0.65,0.8
279,7.38,2639.0,7336.0,6968.0,6856.0,7376.0,0.65,0.75
280,7.49,2675.0,6936.0,7344.0,6832.0,7376.0,0.63,0.39
281,7.32,2687.0,7432.0,6992.0,6920.0,7440.0,0.65,0.76
282,6.96,2447.0,7568.0,7488.0,7840.0,7704.0,0.67,0.71
283,6.14,1888.0,7904.0,8232.0,8152.0,8304.0,0.67,0.75
284,5.66,1799.0,7552.0,7648.0,8240.0,7664.0,0.65,0.25
285,5.37,1779.0,7344.0,7664.0,7344.0,7808.0,0.67,0.14
286,5.25,1782.0,7800.0,7376.0,7912.0,7496.0,0.67,0.24
287,5.07,1793.0,7512.0,7808.0,7568.0,8040.0,0.67,0.47
288,5.01,1800.0,7976.0,7408.0,8144.0,7920.0,0.67,0.75
289,5.01,1820.0,7944.0,7416.0,8024.0,7480.0,0.63,0.59
290,5.13,1814.0,7544.0,7416.0,8104.0,7424.0,0.61,0.29
291,5.13,1797.0,7584.0,7928.0,7688.0,7896.0,0.61,0.55
292,4.9,1796.0,8056.0,7560.0,8168.0,8024.0,0.61,0.78
293,4.78,1771.0,7568.0,7592.0,8176.0,7592.0,0.61,0.71
294,4.72,1739.0,7696.0,7912.0,7856.0,8272.0,0.59,0.73
295,4.48,1657.0,8232.0,7792.0,8408.0,7896.0,0.61,0.75
296,4.37,1620.0,8280.0,7832.0,8352.0,7888.0,0.61,0.71
297,4.25,1626.0,7832.0,8280.0,8008.0,8432.0,0.59,0.8
298,4.19,1630.0,8208.0,7880.0,8392.0,7960.0,0.61,0.73
299,4.13,1631.0,7904.0,8272.0,7896.0,8048.0,0.59,0.73
300,4.13,1651.0,8344.0,8344.0,7944.0,8408.0,0.59,0.71
301,4.07,1656.0,8312.0,7936.0,8464.0,7984.0,0.57,0.75
302,4.01,1650.0,7808.0,8280.0,7984.0,8472.0,0.57,0.25
303,4.01,1644.0,8240.0,7936.0,8336.0,7880.0,0.59,0.51
304,4.31,1661.0,7656.0,8072.0,7680.0,8184.0,0.57,0.35
305,4.96,1665.0,7368.0,7400.0,7536.0,7536.0,0.57,0.76
306,5.13,1671.0,7280.0,7704.0,7344.0,7840.0,0.57,0.35
307,5.72,1667.0,7496.0,7144.0,7696.0,7216.0,0.57,0.76
308,5.84,1671.0,7040.0,7480.0,7184.0,7608.0,0.57,0.22
309,5.72,1680.0,7456.0,7048.0,7552.0,7608.0,0.57,0.75
310,6.25,1680.0,6968.0,6648.0,6744.0,6352.0,0.57,0.8
311,8.73,1677.0,5768.0,5696.0,5800.0,5688.0,0.55,0.78
312,9.44,1680.0,5520.0,5536.0,5272.0,5312.0,0.53,0.82
313,10.68,1684.0,4952.0,5248.0,4712.0,4880.0,0.51,0.67
314,11.33,1680.0,4608.0,4712.0,4512.0,4712.0,0.51,0.43
315,11.74,1680.0,4792.0,4440.0,4600.0,4656.0,0.51,0.73
316,12.51,1686.0,4400.0,4816.0,4480.0,4696.0,0.51,0.08
317,10.86,1817.0,5360.0,5464.0,5432.0,5496.0,0.53,0.12
318,10.03,1829.0,5896.0,5984.0,5864.0,6056.0,0.55,0.14
319,9.5,1846.0,6296.0,5944.0,6136.0,5928.0,0.57,0.78
320,9.32,1835.0,5904.0,6160.0,5656.0,5688.0,0.57,0.53
321,12.57,1775.0,4288.0,3936.0,3856.0,3696.0,0.55,0.84
322,14.81,1691.0,3704.0,3712.0,3616.0,3816.0,0.53,0.8
323,14.28,1824.0,3832.0,4160.0,3712.0,4024.0,0.51,0.73
324,14.99,1792.0,3488.0,3704.0,3560.0,3768.0,0.49,0.31
325,13.51,1815.0,4456.0,4488.0,4432.0,4672.0,0.51,0.1
326,13.75,1607.0,4000.0,3808.0,3360.0,3616.0,0.51,0.82
327,15.81,1402.0,3200.0,3472.0,3184.0,3464.0,0.51,0.75
328,13.98,1414.0,4504.0,4384.0,4640.0,4616.0,0.49,0.1
329,11.98,1490.0,5120.0,5200.0,4984.0,4976.0,0.51,0.71
330,13.57,1478.0,3936.0,4136.0,3768.0,3992.0,0.51,0.76
331,14.51,1418.0,3680.0,3808.0,3664.0,3832.0,0.49,0.14
332,14.1,1435.0,3592.0,3536.0,3392.0,3152.0,0.51,0.69
333,17.88,1364.0,2208.0,2328.0,2160.0,2296.0,0.53,0.82
334,18.53,1338.0,2400.0,2488.0,2480.0,2680.0,0.51,0.49
335,16.7,1387.0,3344.0,3520.0,3928.0,4128.0,0.51,0.04
336,12.8,1444.0,5304.0,5704.0,5696.0,5976.0,0.51,0.29
337,10.91,1413.0,5664.0,6184.0,5624.0,6256.0,0.53,0.57
338,9.09,1262.0,6904.0,6688.0,7128.0,6928.0,0.57,0.12
339,7.67,1276.0,7480.0,6952.0,7128.0,7104.0,0.59,0.82
340,8.02,1276.0,6424.0,6192.0,5520.0,6104.0,0.57,0.84
341,12.09,1273.0,4760.0,4888.0,4880.0,5264.0,0.51,0.75
342,9.73,1275.0,6048.0,6640.0,6536.0,7024.0,0.57,0.04
343,7.43,1326.0,7424.0,7624.0,7432.0,7744.0,0.57,0.47
344,7.08,1310.0,7624.0,7280.0,7752.0,7496.0,0.61,0.78
345,6.55,1285.0,7360.0,7344.0,7408.0,7408.0,0.65,0.8
